ObjectKey,FetchDate,State,County,PropertyLink,Address,ListingPrice,BuyWithRedfin,Vendor,Status,PropertyType,Style,LotSize,TimeOnRedfin,YearBuilt,Community,MlsNo,ListPrice,RedfinEstimate,BuyerAgentCommission,EstMoPayment,PriceSqFt
5c7519e6cad55bffb4adcbc87b79e67ff1b4bbe66ff7246035e14fed1c940149,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Long-Beach/1910-Josie-Ave-90815/home/7583752,"1910 Josie Ave,Long Beach, CA 90815","$1,200,000","Buy with Redfin: $1,197,447",matterport,Active,Single Family Residence,,"6,928 Sq. Ft.",4 days,1953,"34 - Los Altos, X-100",PW22155201,"$1,200,000",,2.5%,"$6,695",$509
a3f8ea46fc39044b73b76f94ce7bf3a8386746b6a3e65ca821fa9d965fcfbae7,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/San-Gabriel/6565-N-Vista-St-91775/home/7040048,"6565 N Vista St,San Gabriel, CA 91775","$1,198,000","Buy with Redfin: $1,195,451",matterport,Active,Single Family Residence,,0.30 Acres,10 days,1953,654 - San Gabriel,AR22148849,"$1,198,000","$1,251,261",2.5%,"$6,684",$612
24eb76fd894eb1444509f8a9c4c56e3705ed0dd0b4eb444c9093c8c5c0cb7d9f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Tarzana/18100-Burbank-Blvd-91356/unit-26/home/4075466,"18100 Burbank Blvd #26,Tarzana, CA 91356","$750,000","Buy with Redfin: $748,470",matterport,Active,Townhouse,,1.62 Acres,3 days,1979,TAR - Tarzana,SR22151923,"$750,000","$783,792",2.5%,"$4,727",$355
5d00fbf3e26ec7467ed2ca8316f71dd7096984af7f4f4dd16bec02dd68230101,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/La-Mirada/14721-Starpath-Dr-90638/home/7764133,"14721 Starpath Dr,La Mirada, CA 90638","$750,000","Buy with Redfin: $748,470",matterport,Active,Single Family Residence,,"7,961 Sq. Ft.",4 days,1955,M3 - La Mirada,PW22155097,"$750,000",,2%,"$4,184",$476
590d3d7b71b47dcde8dbc1b30b8b5ca9b4f4168ff24ebe2033d3d1f0a4089a3f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Lomita/25837-Oak-St-90717/unit-117/home/7731829,"25837 Oak St #117,Lomita, CA 90717","$625,000","Buy with Redfin: $623,775",matterport,Active,Townhouse,"Mid Century Modern, Traditional",1.40 Acres,12 days,1976,121 - Lomita,SB22140066,"$625,000","$651,373",2.5%,"$3,949",$474
c28bfc761a3ba09c1928b299fd8a6b881dea053dc45dd5f14de8c88d5af6dbcb,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/San-Pedro/304-Miraleste-Dr-90732/unit-38/home/7734781,"304 S Miraleste Dr #38,San Pedro, CA 90732","$499,000","Buy with Redfin: $498,093",matterport,Active,Condo,,7.14 Acres,4 days,1971,186 - Miraleste Pines,PW22154703,"$499,000",,2.5%,"$3,282",$437
5a7e161022c761f4f87458849cf7d86fc7f46f995d78fa800c7ac8ca59639e70,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Glendale/3380-Country-Club-Dr-91208/home/7145045,"3380 Country Club Dr,Glendale, CA 91208","$1,799,000","Buy with Redfin: $1,795,213",matterport,Active,Single Family Residence,Custom Built,"8,565 Sq. Ft.",3 days,1985,699 - Not Defined,SR22150447,"$1,799,000","$1,898,060",2.5%,"$10,078",$558
b8f52554d720224417450b76ddec32c2f0d472da8a5d4e8d9719549296369420,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Sunland-Tujunga/8633-Le-Berthon-St-91040/home/5503534,"8633 Le Berthon St,Sunland, CA 91040","$859,000","Buy with Redfin: $857,204",matterport,Active,Single Family Residence,,"8,881 Sq. Ft.",8 hours,1956,659 - Sunland/Tujunga,PF22158007,"$859,000","$870,994",2%,"$4,792",$554
5af1ee271641fb4f46285ea7f9e8723d4d7238281591a1d053d290d106b4eec5,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Glendora/2639-Country-Club-Dr-91741/home/8038961,"2639 Country Club Dr,Glendora, CA 91741","$1,300,000","Buy with Redfin: $1,297,239",matterport,Active,Single Family Residence,,0.33 Acres,5 days,1956,629 - Glendora,CV22153327,"$1,300,000","$1,305,357",2.25%,"$7,253",$591
c56bf2a809a07b9ece5fc4261e94931fddea8e3dd1a6c0c617a9dd254807f634,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Long-Beach/2411-San-Anseline-Ave-90815/home/7581530,"2411 San Anseline Ave,Long Beach, CA 90815","$1,149,000","Buy with Redfin: $1,146,554",matterport,Active,Single Family Residence,Traditional,"6,084 Sq. Ft.",6 days,1954,"34 - Los Altos, X-100",RS22152792,"$1,149,000","$1,147,004",2%,"$6,410",$792
1ea2c27a2bd968f2810633846aeced880df7c8a6bc79e16110a71af99e7b53cc,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Culver-City/6505-Green-Valley-Cir-90230/unit-301/home/6652877,"6505 Green Valley Cir #301,Culver City, CA 90230","$649,900","Buy with Redfin: $648,609",matterport,Active,Condo,Contemporary,11.37 Acres,10 days,1970,Culver City,22-176841,"$649,900","$649,900",2.5%,"$4,066",$734
3f91402de381dda66f97ed8d9323bb8ec12cf0a80b912176e7d9cae3ec3fe749,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Long-Beach/542-Ohio-Ave-90814/home/7608312,"542 Ohio Ave,Long Beach, CA 90814","$1,050,000","Buy with Redfin: $1,047,761",matterport,Active,Single Family Residence,,"4,494 Sq. Ft.",7 hours,1923,"3 - Eastside, Circle Area",PW22158010,"$1,050,000","$1,072,131",2.5%,"$5,858",$907
974d683b8f8e8e63e8a29d618bd000af5ce7b3f71ddf2dc527b57d63d95d94e5,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/La-Verne/1986-Peyton-Rd-91750/home/7911876,"1986 Peyton Rd,La Verne, CA 91750","$899,800","Buy with Redfin: $897,898",matterport,Active,Single Family Residence,Traditional,"7,613 Sq. Ft.",10 days,1974,684 - La Verne,CV22149423,"$899,800","$912,324",2%,"$5,020",$491
fdfe412ffc8a6cfb3e2a60a589260a94d10b4466a4ce4b836a8b302b2b8108e4,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/SANTA-CLARITA/27265-PIERCE-LN-91350/home/143517092,"27265 Pierce Ln,Santa Clarita, CA 91350","$799,000","Buy with Redfin: $797,353",matterport,Active,"Single Family, Residential Single-Family",,1.90 Acres,12 days,2016,Canyon Country 1,22-176037,"$799,000","$805,036",2.5%,"$4,687",$361
7d0b20b520da5f689140c67f22cf8c506350f2c734bb5c10b523f8c525074e05,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/3401-Barham-Blvd-90068/unit-3/home/8149029,"3401 Barham Blvd #3,Hollywood Hills East, CA 90068","$1,199,000","Buy with Redfin: $1,196,449",matterport,Active,Condo,,0.26 Acres,12 days,1994,C30 - Hollywood Hills East,SR22141237,"$1,199,000","$1,197,603",2.5%,"$7,139",$621
4a9c9dc9df81f31254053ad7121416415139b85739c79857fa8c1ef33d2b9429,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Stevenson-Ranch/25745-Perlman-Pl-91381/unit-D/home/8099952,"25745 Perlman Pl Unit D,Stevenson Ranch, CA 91381","$564,900","Buy with Redfin: $563,812",matterport,Active,Townhouse,Contemporary,"8,246 Sq. Ft.",6 days,1999,STEV - Stevenson Ranch,BB22151904,"$564,900","$576,702",2.5%,"$3,547",$459
08428eadedc8ded564b2f798e24edc8d7eed0d99fbc323c662a15a5cdbeb94fb,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Alhambra/2829-Midwick-Dr-91803/home/7025730,"2829 Midwick Dr,Alhambra, CA 91803","$968,000","Buy with Redfin: $965,934",matterport,Active,Single Family Residence,Ranch,"5,401 Sq. Ft.",10 hours,1951,601 - Alhambra,PF22156050,"$968,000","$963,733",2%,"$5,400",$747
b9dfeea37be61d21d5c1625a5e541657c6668077f4a1e8a08bd63c7c69a8f9e0,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/3892-Clayton-Ave-W-90027/home/7061185,"3892 Clayton Ave,Los Angeles, CA 90027","$2,499,000","Buy with Redfin: $2,493,766",matterport,Active,Single Family Residence,Tudor,"4,551 Sq. Ft.",5 days,1921,637 - Los Feliz,SR22151234,"$2,499,000","$2,598,045",3%,"$13,942",$834
362662660fdf94c9d95da5f28ebb16643121b341d273b22c7b76d73ca86f910c,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Gardena/15067-Sutro-Ave-90249/home/6537582,"15067 Sutro Ave,Gardena, CA 90249","$749,000","Buy with Redfin: $747,473",matterport,Active,Single Family Residence,,"5,000 Sq. Ft.",5 days,1942,699 - Not Defined,OC22153644,"$749,000","$770,963",2%,"$4,179",$895
e0e724262ab95d3174dfc8d2e7ab7af3d3ea0498f78d09941a9c0716082617e3,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/1215-Armacost-Ave-90025/unit-404/home/22713577,"1215 Armacost Ave #404,Los Angeles, CA 90025","$1,149,000","Buy with Redfin: $1,146,554",matterport,Active,Condo,,"9,599 Sq. Ft.",4 days,2007,West L.A.,22-177841,"$1,149,000",,2.5%,"$6,894",$777
a837e10c278d8d96adf6d3596abaddc654764463000f4e601a5e0aaa8a18cf4f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Montebello/1004-N-Iguala-St-90640/home/6995974,"1004 N Iguala St,Montebello, CA 90640","$1,350,000","Buy with Redfin: $1,347,136",matterport,Active,Single Family Residence,,"6,028 Sq. Ft.",3 days,1976,674 - Montebello,PW22154048,"$1,350,000","$1,339,922",2%,"$7,524",$488
f37a892e57070a4af90bd125420d7e8b2887708529b84f2c244aeabfd21d27be,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Harbor-City/23331-Dorset-Pl-90710/home/7681628,"23331 Dorset Pl,Harbor City, CA 90710","$725,000","Buy with Redfin: $723,531",matterport,Active,Single Family Residence,,"5,146 Sq. Ft.",4 days,1969,124 - Harbor City,SB22153137,"$725,000",,2.5%,"$4,041",$604
d6ef21788b76eab30432b26e8b3045422957f5e3d6150c7aa111d2dd6aa5f9de,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/7807-Truxton-Ave-90045/home/6607359,"7807 Truxton Ave,Los Angeles, CA 90045","$1,825,000","Buy with Redfin: $1,821,161",matterport,Active,"Single Family, Residential Single-Family",Traditional,"6,003 Sq. Ft.",4 days,1944,Westchester,22-176575,"$1,825,000",,2.5%,"$10,182",$930
e419502bc5c0bacadfb9a120de9ab22343300908a6cf99c6c505e30a6bf563df,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Sherman-Oaks/15344-Weddington-St-91411/unit-315/home/4745351,"15344 Weddington St #315,Sherman Oaks, CA 91411","$505,000","Buy with Redfin: $504,075",matterport,Active,Condo,,0.67 Acres,20 days,1965,SO - Sherman Oaks,BB22140290,"$505,000","$501,486",2%,"$3,309",$574
0ce29cf17d5d390fe5a6f5dba5e1a63d3a49efe5e8be88c4142a269959463b2e,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/2884-Sawtelle-Blvd-90064/unit-109/home/17225569,"2884 Sawtelle Blvd #109,Los Angeles, CA 90064","$675,000","Buy with Redfin: $673,642",matterport,Active,Condo,Contemporary,0.70 Acres,5 days,1971,West L.A.,22-174905,"$675,000","$676,136",2.5%,"$4,080",$703
0e9d5c9eec02ecbb42b224d608a06494ed372c508334ccd5b01a9bd15927dd0f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Whittier/9526-Mina-Ave-90605/home/7823260,"9526 Mina Ave,Whittier, CA 90605","$730,000","Buy with Redfin: $728,519",matterport,Active,Single Family Residence,,"6,082 Sq. Ft.",18 days,1952,670 - Whittier,PW22137369,"$730,000","$735,821",2%,"$4,073",$478
1cbea1fee944c9a7e81e97836e85764cba2acf96ff965a42e58f9566c1583374,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Beverly-Hills/1920-Loma-Vista-Dr-90210/home/6834813,"1920 Loma Vista Dr,Beverly Hills, CA 90210","$5,295,000","Buy with Redfin: $5,284,070",matterport,Active,"Single Family, Residential Single-Family",Mid-Century,0.52 Acres,6 days,1959,Beverly Hills,22-178135,"$5,295,000","$5,258,349",2.5%,"$29,540","$1,354"
efc9e77caa4a2f3ebe3ed7ee235a7bc12d7909ce1ccb72a11152d54f4aa4674a,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Porter-Ranch/11302-Paseo-La-Cumbre-91326/home/110131472,"11302 Paseo La Cumbre,Porter Ranch, CA 91326","$898,000","Buy with Redfin: $896,102",matterport,Active,Townhouse,,1.85 Acres,33 days,2015,PORA - Porter Ranch,BB22125413,"$898,000","$904,145",2.25%,"$5,472",$565
a62271c01a54117cac9d625982cda55aef51c034aef43cc02a454b436274b564,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/4725-Del-Paso-Ct-90032/home/6950383,"4725 Del Paso Ct,Los Angeles, CA 90032","$998,000","Buy with Redfin: $995,870",matterport,Active,"Single Family, Residential Single-Family",Other,"7,223 Sq. Ft.",11 days,1985,El Sereno,22-174803,"$998,000","$1,012,355",2.5%,"$5,568",$628
68653a66fdae28b7ba3393a5685dd17fe9dd5e105b20955bea2292129c3dc91d,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Lakewood/4228-Redline-Dr-90713/home/8183588,"4228 Redline Dr,Lakewood, CA 90713","$985,000","Buy with Redfin: $982,898",matterport,Active,Single Family Residence,,"5,736 Sq. Ft.",6 days,1953,25 - Carson Park,PV22151174,"$985,000","$988,550",2.5%,"$5,495",$542
f66477e4f06eeebec439a7626f627656cf192d625251eb0abea7c92e5c3813d5,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Stevenson-Ranch/25845-Dickens-Ct-91381/unit-23/home/5992491,"25845 Dickens Ct #23,Stevenson Ranch, CA 91381","$765,000","Buy with Redfin: $763,434",matterport,Active,Single Family Residence,,5.05 Acres,4 days,1989,699 - Not Defined,PF22155268,"$765,000",,2.5%,"$4,430",$447
ece6183d8b98250c50e56585f8d411d6e3b7dbaab5b085930466c560020ae2a5,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/San-Pedro/348-Miraleste-Dr-90732/unit-303/home/7735380,"348 S Miraleste Dr #303,San Pedro, CA 90732","$549,900","Buy with Redfin: $548,853",matterport,Active,Condo,,8.18 Acres,19 days,1973,186 - Miraleste Pines,PW22141739,"$549,900","$550,529",2%,"$3,483",$481
43ec375b3967a068e3d1fc3ec3e33f58213ee7a6dfc146853b64d7d0d15aa0c9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Palmdale/3425-Sungate-Dr-93551/home/8124310,"3425 Sungate Dr,Palmdale, CA 93551","$649,999","Buy with Redfin: $648,708",matterport,Active,Single Family Residence,Traditional,"8,232 Sq. Ft.",9 days,2002,PLM - Palmdale,SR22148952,"$649,999","$655,972",2.5%,"$3,626",$246
6fe501d832488d6ae5069c5edff62cf454af95d5ce2acfc221f3cc8a8bc08c31,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/2804-S-Rimpau-Blvd-90016/home/6897700,"2804 S Rimpau Blvd,Los Angeles, CA 90016","$1,079,000","Buy with Redfin: $1,076,700",matterport,Active,Single Family Residence,,"5,200 Sq. Ft.",5 days,1921,C16 - Mid Los Angeles,PW22152926,"$1,079,000","$1,091,979",2.5%,"$6,014",$788
0099e5cb3aab440d41baede4e439f98f65b729c871aed5925d61e14cc026dde7,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Arcadia/926-S-Ninth-Ave-91006/home/7235371,"926 S 9th Ave,Arcadia, CA 91006","$1,786,000","Buy with Redfin: $1,782,240",matterport,Active,Single Family Residence,,"7,806 Sq. Ft.",4 days,1959,605 - Arcadia,AR22154510,"$1,786,000",,2%,"$9,964",$746
72728392bcce8bbd5b6835a26ff80ece03b64c7ec0ebecb3faff339ad1d0cf4c,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Van-Nuys/5839-Vesper-Ave-91411/home/4677464,"5839 Vesper Ave,Sherman Oaks, CA 91411","$1,290,000","Buy with Redfin: $1,287,260",matterport,Active,"Single Family, Residential Single-Family",Traditional,"6,731 Sq. Ft.",5 days,1942,Sherman Oaks,22-174805,"$1,290,000","$1,295,193",2.5%,"$7,197",$823
27a00e83b72305bdec6c208f54f76290f21e3458707d811648811fd2450dc828,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Santa-Clarita/28181-Robin-Ave-91350/home/5937840,"28181 Robin Ave,Saugus, CA 91350","$385,000",,matterport,Active,Townhouse,,3.29 Acres,2 days,1975,BOUQ - Bouquet Canyon,SR22154660,"$385,000","$392,767",2.5%,"$2,438",$462
c97eb33e7ebdd7594b7192c2d590360b0a86fb9b2debc01d990fc5c7285351ac,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Long-Beach/6550-Myrtle-Ave-90805/home/7507320,"6550 Myrtle Ave,Long Beach, CA 90805","$599,900","Buy with Redfin: $598,728",matterport,Active,Single Family Residence,,"4,993 Sq. Ft.",7 hours,1939,7 - North Long Beach,PW22155712,"$599,900","$603,024",2%,"$3,347",$772
4e89d35fc45dcb7ebfb8da8233f33b6df7251092ab78ca67a4e8c999ba23a141,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Rancho-Palos-Verdes/28623-Quailhill-Dr-90275/home/7747098,"28623 Quailhill Dr,Rancho Palos Verdes, CA 90275","$2,350,000","Buy with Redfin: $2,345,076",matterport,Active,Single Family Residence,,"8,880 Sq. Ft.",3 days,1969,175 - Peninsula Center,WS22155342,"$2,350,000","$2,369,429",2.5%,"$13,098",$959
bf0c7b60fa9ebedcaaf0a62dc88063d61ba849a1c7806d669336029d32f256c7,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Montebello/708-E-Azalea-Dr-90640/home/6982525,"708 E Azalea Dr,Montebello, CA 90640","$1,250,000","Buy with Redfin: $1,247,343",matterport,Active,Single Family Residence,Contemporary,"6,297 Sq. Ft.",5 days,1976,674 - Montebello,OC22150555,"$1,250,000","$1,242,012",2%,"$6,974",$508
ec5fa8110151d69e6aef064773a2e36c92b97b05f77eb2dfb89e6421ece790e0,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Pasadena/1091-E-Elizabeth-St-91104/home/7263119,"1091 E Elizabeth St,Pasadena, CA 91104","$1,785,000","Buy with Redfin: $1,781,242",matterport,Active,Single Family Residence,Mediterranean,"10,103 Sq. Ft.",8 hours,1925,646 - Pasadena (NE),AR22155189,"$1,785,000","$1,812,811",2.5%,"$9,958",$833
5ce6f7fb9981d36d13ff492c683a5a164b0dd0ece8c7f536af31262f145ace92,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Encino/17720-Margate-St-91316/home/4136740,"17720 Margate St,Encino, CA 91316","$869,000","Buy with Redfin: $867,176",matterport,Active,Townhouse,,5.05 Acres,3 days,1973,ENC - Encino,BB22154590,"$869,000","$867,412",2.25%,"$5,498",$419
25d8553c7ebfd943dc94ca1cb1cefc850839bfc0665057b911ff2a89a0e576cd,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/880-W-1st-St-90012/unit-402/home/6933515,"880 W 1st St #402,Los Angeles, CA 90012","$698,000","Buy with Redfin: $696,585",matterport,Active,Condo,Contemporary,,10 hours,1982,Metropolitan,22-180145,"$698,000","$696,501",2.5%,"$5,019",$526
ea181dfa4ee5ecd69ac73ba0c407897d577c888cfcc38102cb5099992c7863c7,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Panorama-City/8907-Moonbeam-Ave-91402/home/5639237,"8907 Moonbeam Ave,Panorama City, CA 91402","$735,000","Buy with Redfin: $733,507",matterport,Active,Single Family Residence,,"5,670 Sq. Ft.",10 days,1949,PC - Panorama City,SR22147317,"$735,000","$741,026",2%,"$4,101",$725
95c2f65af8cb8bbd25b7a0c46529afc4562c9ef746bf06d912ec4944da7f6248,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Covina/19912-E-Lorencita-Dr-91724/home/7873025,"19912 E Lorencita Dr,Covina, CA 91724","$1,100,000","Buy with Redfin: $1,097,656",matterport,Active,Single Family Residence,"Custom Built, Spanish, Traditional",0.94 Acres,10 days,1938,614 - Covina,PW22144422,"$1,100,000","$1,126,117",2%,"$6,137",$459
457fba0ba07b4fbf3006938a7aa73cdc551d5b1157b5f6c83976b71976fbc481,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Lakewood/4626-Vangold-Ave-90712/home/7534808,"4626 Vangold Ave,Lakewood, CA 90712","$820,000","Buy with Redfin: $818,309",matterport,Active,Single Family Residence,,"6,091 Sq. Ft.",10 days,1955,24 - Lakewood Mutuals,PW22149931,"$820,000","$851,009",2.5%,"$4,575",$669
d97697a43bb68ac89af470da2f0321c082ba2f2ca3f4fc4d3ee98fb20554ccf3,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/3206-W-59th-St-90043/home/6413729,"3206 W 59th St,Los Angeles, CA 90043","$924,900","Buy with Redfin: $922,931",matterport,Active,Single Family Residence,,"5,422 Sq. Ft.",35 days,1923,PHHT - Park Hills Heights,SB22125291,"$924,900","$949,790",2.5%,"$5,160",$536
9062d503dbd0e75ccf5cd947d7cdfcb6ce4c69ab214507af8711789198b733a4,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Woodland-Hills/21779-Ybarra-Rd-91364/home/4205905,"21779 Ybarra Rd,Woodland Hills, CA 91364","$2,375,000","Buy with Redfin: $2,370,024",matterport,Active,Single Family Residence,Custom Built,0.73 Acres,18 days,1953,WHLL - Woodland Hills,SR22136126,"$2,375,000","$2,357,353",2.5%,"$13,250",$663
5fd6f2cba62b9aaaabc0575757353c213b4cfab5643f3f168b97db578d85c7df,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/1830-Taft-Ave-90028/unit-305/home/7131680,"1830 Taft Ave #305,Hollywood, CA 90028","$819,000","Buy with Redfin: $817,311",matterport,Active,Condo,Mid-Century,0.45 Acres,7 days,1962,Hollywood,22-176917,"$819,000","$822,217",2.5%,"$4,995",$629
df39e09baae366926ca02e2dab885cbcf28f62af3899e3ef14aec176c6ac9de2,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/2000-W-94th-Pl-90047/home/7308111,"2000 W 94th Pl,Los Angeles, CA 90047","$849,000","Buy with Redfin: $847,233",matterport,Active,Single Family Residence,,"5,101 Sq. Ft.",4 days,1944,C36 - Metropolitan Southwest,SR22153632,"$849,000",,2%,"$4,737",$562
