FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Black Lake Pipeline,complete,Submittal,20220606-8026,06/06/2022,06/06/2022,Black Lake Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"2,449,640","1,837,233","397,366","73,201",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/black_lake_pipeline_form6q
07/26/2022,Buckeye Pipe Line,complete,Submittal,20220603-8015,06/03/2022,06/03/2022,Buckeye Pipe Line Transportation LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"32,559,901","33,073,226","3,694,214","283,088","13,601,057",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/buckeye_pipe_line_form6q
07/26/2022,Burlington Resources Trading,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Butte Pipe Line,nohtml,Submittal,20211222-8029,12/22/2021,12/22/2021,BUTTE PIPE LINE COMPANY submits FERC Form 6Q report for 2021/Q3,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,,,,,,,
07/26/2022,CKB Petroleum,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,CNG Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Calnev Pipe Line,complete,Submittal,20220524-8012,05/24/2022,05/24/2022,Calnev Pipe Line LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"18,397,253","9,437,042","2,623,410",,"10,115,644",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/calnev_pipe_line_form6q
07/26/2022,Cenex Pipeline,complete,Submittal,20220608-8053,06/08/2022,06/08/2022,"Cenex Pipeline, LLC submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"10,195,806","5,900,965.98","1,577,174",,"5,545,334",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/cenex_pipeline_form6q
07/26/2022,Chase Transportation,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Chevron Pipe Line,complete,Submittal,20220526-8102,05/26/2022,05/26/2022,Chevron Pipe Line Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"26,608,858","44,220,945","5,711,726","86,075","26,638,318",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/chevron_pipe_line_form6q
07/26/2022,Chicap Pipe Line,complete,Submittal,20220609-8028,06/09/2022,06/09/2022,Chicap Pipe Line Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"4,343,387","1,820,964","401,536",,"10,401,647",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/chicap_pipe_line_form6q
07/26/2022,Chisholm Pipeline,complete,Submittal,20220608-8039,06/08/2022,06/08/2022,Chisholm Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,,"281,871.00","54,541",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/chisholm_pipeline_form6q
07/26/2022,Citgo Pipeline,complete,Submittal,20220609-8050,06/09/2022,06/09/2022,CITGO Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"22,640,792","3,384,377.00","544,723",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/citgo_pipeline_form6q
07/26/2022,Citgo Products Pipeline,complete,Submittal,20220610-8000,06/10/2022,06/10/2022,CITGO Products Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"7,360,021","2,711,240.00","318,062",,"3,986,076",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/citgo_products_pipeline_form6q
07/26/2022,Chuchula Pipelinee,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,The Premcor Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Premcor P.A. Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Coastal Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Kinder Morgan Cochin,complete,Submittal,20211202-8003,12/02/2021,12/02/2021,Kinder Morgan Cochin LLC submits FERC Form 6Q report for 2021/Q3,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2021/Q3,"36,637,686","12,516,816","6,804,157",,"25,628,261",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/kinder_morgan_cochin_form6q
07/26/2022,Collins Pipeline,complete,Submittal,20220531-8086,05/31/2022,05/31/2022,Collins Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"2,681,545","9,046,355","282,658",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/collins_pipeline_form6q
07/26/2022,Colonial Pipeline,complete,Submittal,20220609-8044,06/09/2022,06/09/2022,Colonial Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"358,467,576","180,485,293","18,615,972","2,230,031","217,898,539",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/colonial_pipeline_form6q
07/26/2022,Concha Chemical Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Conoco Offshore Pipeline,complete,Submittal,20220606-8022,06/06/2022,06/06/2022,Conoco Offshore Pipe Line Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"210,717","641,551",,,"259,542",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/conoco_offshore_pipeline_form6q
07/26/2022,Phillips 66 Pipeline,complete,Submittal,20220608-8049,06/08/2022,06/08/2022,Phillips 66 Pipeline LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"39,378,837","37,459,026","4,897,146",,"129,223,494",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/phillips_66_pipeline_form6q
07/26/2022,Cook Inlet Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Crown-Rancho Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,D.S.E. Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Diamond Shamrock Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Diamond Shamrock Refining and Marketing,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Dixie Pipeline,complete,Submittal,20220608-8065,06/08/2022,06/08/2022,Dixie Pipeline Company LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"24,618,961","17,006,464","1,164,141",,"10,725,911",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/dixie_pipeline_form6q
07/26/2022,Dome Petroleum,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Link Energy Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Valero Terminaling and Distribution,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Enbridge Pipelines (North Dakota),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Endicott Pipeline,complete,Submittal,20220608-8028,06/08/2022,06/08/2022,Endicott Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"1,695,219","1,084,987","288,209",0,"1,492,311",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/endicott_pipeline_form6q
07/26/2022,Shell Pipeline,complete,Submittal,20220608-8062,06/08/2022,06/08/2022,Shell Pipeline Company LP submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"24,161,991","14,470,977","7,036,797","1,688,575","48,896,496",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/shell_pipeline_form6q
07/26/2022,Ewing Bank Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Explorer Pipeline,complete,Submittal,20220526-8101,05/26/2022,05/26/2022,Explorer Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"79,315,094","43,539,364","6,199,874","162,924","41,764,320",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/explorer_pipeline_form6q
07/26/2022,Express Pipeline,complete,Submittal,20220609-8014,06/09/2022,06/09/2022,Express Pipeline LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"61,982,832","22,102,913","4,603,309",,"24,716,822",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/express_pipeline_form6q
07/26/2022,ExxonMobil Pipeline,complete,Submittal,20220609-8012,06/09/2022,06/09/2022,ExxonMobil Pipeline Company LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"166,950,586","82,329,511","16,987,451",,"198,377,435",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/exxonmobil_pipeline_form6q
07/26/2022,Farmland Industries,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Frontier Aspen,complete,Submittal,20220601-8020,06/01/2022,06/01/2022,Frontier Aspen LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"6,861,675","2,874,682.29","454,239","129,550","5,640,320",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/frontier_aspen_form6q
07/26/2022,Genesis Pipeline USA,complete,Submittal,20220607-8008,06/07/2022,06/07/2022,"Genesis Pipeline USA, L.P. submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"4,424,984","4,321,532","3,490,350","117,254","6,701,527",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/genesis_pipeline_usa_form6q
07/26/2022,Heartland Pipeline,complete,Submittal,20220608-8050,06/08/2022,06/08/2022,Heartland Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"2,068,248","1,272,423.00","32,111",,"1,453,059",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/heartland_pipeline_form6q
07/26/2022,Hess Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,IMTT-Pipeline,complete,Submittal,20220620-8000,06/20/2022,06/20/2022,IMTT-PIPELINE submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"902,718","1,032,382","341,471",0,"9,031,426",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/imtt_pipeline_form6q
07/26/2022,Interstate Storage & Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Jayhawk Pipe Line,complete,Submittal,20220609-8008,06/09/2022,06/09/2022,"Jayhawk Pipeline, L.L.C. submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"8,982,763","8,519,290","943,226",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/jayhawk_pipe_line_form6q
07/26/2022,Jolliet Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,NuStar Pipeline Operating Partnership,complete,Submittal,20220531-8072,05/31/2022,05/31/2022,"NuStar Pipeline Operating Partnership, L.P. submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"44,075,780","23,187,115","3,554,731",,"17,521,946",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/nustar_pipeline_operating_partnership_form6q
07/26/2022,Kenai Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Kiantone Pipeline,complete,Submittal,20220525-8007,05/25/2022,05/25/2022,Kiantone Pipeline Corporation submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"18,257,334","2,560,349","1,601,605","221,290",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/kiantone_pipeline_form6q
07/26/2022,Kinder Morgan Operating,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Koch Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Kuparuk Transportation,complete,Submittal,20220608-8006,06/08/2022,06/08/2022,Kuparuk Transportation Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"6,825,449","4,801,139","424,454","6,496","17,625,328",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/kuparuk_transportation_form6q
07/26/2022,LOCAP,complete,Submittal,20220630-8003,06/30/2022,06/30/2022,LOCAP LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"9,310,118","4,275,951","783,220",,"57,975,959",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/locap_form6q
07/26/2022,Enbridge Energy,complete,Submittal,20220608-8077,06/08/2022,06/08/2022,"Enbridge Energy, Limited Partnership submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"649,086,175","364,972,449","147,390,659",,"277,915,803",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/enbridge_energy_form6q
07/26/2022,Williams Petroleum Pipeline System,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,MOEM Pipeline,complete,Submittal,20220525-8029,05/25/2022,05/25/2022,MOEM Pipeline LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"4,998,900","1,015,800","267,100",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/moem_pipeline_form6q
07/26/2022,Marathon Pipe Line,complete,Submittal,20220606-8000,06/06/2022,06/06/2022,Marathon Pipe Line LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"193,569,539","96,461,874","11,953,549","694,072","281,767,576",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/marathon_pipe_line_form6q
07/26/2022,Marathon Offshore Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Mars Oil Pipeline,complete,Submittal,20220608-8031,06/08/2022,06/08/2022,Mars Oil Pipeline Company LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"57,699,815","19,201,342","2,323,220",,"43,894,112",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mars_oil_pipeline_form6q
07/26/2022,Mid-America Pipeline,complete,Submittal,20220608-8064,06/08/2022,06/08/2022,"Mid-America Pipeline Company, LLC submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"108,735,159","62,005,376","10,111,120",,"62,371,366",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mid_america_pipeline_form6q
07/26/2022,Mid Valley Pipeline,complete,Submittal,20220602-8010,06/02/2022,06/02/2022,Mid Valley Pipeline Company LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"17,511,521","8,084,586","658,444",,"24,601,522",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mid_valley_pipeline_form6q
07/26/2022,Milne Point Pipeline,complete,Submittal,20220608-8032,06/08/2022,06/08/2022,"Milne Point Pipeline, LLC submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"3,193,735","1,051,300","211,559",,"3,361,826",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/milne_point_pipeline_form6q
07/26/2022,Minnesota Pipe Line,complete,Submittal,20220606-8012,06/06/2022,06/06/2022,"Minnesota Pipe Line Company, LLC submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"31,856,069","15,990,793","4,854,778",0,"39,466,480",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/minnesota_pipe_line_form6q
07/26/2022,Mobil Alaska Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Mobil Eugene Island Pipeline,complete,Submittal,20220602-8001,06/02/2022,06/02/2022,Mobil Eugene Island Pipeline Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"2,035,497","1,314,275",,,"706,792",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mobil_eugene_island_pipeline_form6q
07/26/2022,Mobil Pipe Line,complete,Submittal,20220609-8032,06/09/2022,06/09/2022,Mobil Pipe Line Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"12,927,748","5,460,061","377,383",,"31,545,912",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mobil_pipe_line_form6q
07/26/2022,Mustang Pipe Line,complete,Submittal,20220607-8010,06/07/2022,06/07/2022,Mustang Pipe Line LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"13,287,812","4,147,340","624,498",,"9,580,447",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mustang_pipe_line_form6q
07/26/2022,NW Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Navajo Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Nine Forks Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Nova Chemicals,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Ohio Oil Gathering II,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Ohio River Pipe Line,complete,Submittal,20220608-8005,06/08/2022,06/08/2022,Ohio River Pipe Line LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"26,683,845","5,207,304","1,926,403","162,779","21,080,152",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/ohio_river_pipe_line_form6q
07/26/2022,Olympic Pipe Line,complete,Submittal,20220606-8029,06/06/2022,06/06/2022,Olympic Pipe Line Company LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"18,645,565","11,613,238","1,785,178",,"24,859,147",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/olympic_pipe_line_form6q
07/26/2022,Osage Pipe Line,complete,Submittal,20220601-8021,06/01/2022,06/01/2022,"Osage Pipe Line Company, LLC submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"3,719,484","2,034,506.35","249,489",,"15,043,923",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/osage_pipe_line_form6q
07/26/2022,Paloma Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Devon EnergyOffshore Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,DevonEnergy Petroleum Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Phillips Alaska Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Phillips Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Phillips Texas Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Pioneer Pipe Line,complete,Submittal,20220608-8055,06/08/2022,06/08/2022,Pioneer Pipe Line Company submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"10,058,152","2,514,806.00","524,839",,"5,671,023",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/pioneer_pipe_line_form6q
